[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[ 140.1 min] step   57165 | games  380501 ( 45.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7739 value 0.2435 | 219.8 min left
[ 141.1 min] step   57576 | games  383545 ( 45.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7728 value 0.2431 | 218.8 min left
[ 142.1 min] step   58008 | games  386678 ( 45.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7734 value 0.2427 | 217.8 min left
[ 143.1 min] step   58438 | games  389889 ( 45.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7739 value 0.2425 | 216.8 min left
[ 144.1 min] step   58855 | games  393071 ( 45.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7738 value 0.2420 | 215.8 min left
[ 145.1 min] step   59264 | games  396091 ( 45.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7743 value 0.2416 | 214.8 min left
[ 146.1 min] step   59675 | games  399213 ( 45.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7745 value 0.2409 | 213.8 min left
[ 147.1 min] step   60075 | games  402233 ( 45.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7743 value 0.2404 | 212.8 min left
[ 148.1 min] step   60489 | games  405243 ( 45.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7743 value 0.2399 | 211.8 min left
[ 149.1 min] step   60925 | games  408393 ( 45.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7743 value 0.2393 | 210.8 min left
[ 150.1 min] step   61335 | games  411437 ( 45.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7741 value 0.2387 | 209.8 min left
[ 151.1 min] step   61741 | games  414535 ( 45.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7733 value 0.2324 | 208.8 min left
[ 152.1 min] step   62173 | games  417689 ( 45.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7719 value 0.2289 | 207.8 min left
[ 153.1 min] step   62580 | games  420876 ( 45.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7723 value 0.2290 | 206.8 min left
[ 154.1 min] step   62980 | games  423975 ( 45.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7726 value 0.2286 | 205.8 min left
[ 155.1 min] step   63412 | games  427122 ( 45.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7726 value 0.2284 | 204.8 min left
[ 156.1 min] step   63822 | games  430267 ( 46.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7726 value 0.2280 | 203.8 min left
[ 157.1 min] step   64249 | games  433417 ( 46.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7734 value 0.2275 | 202.8 min left
[ 158.1 min] step   64667 | games  436581 ( 46.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7741 value 0.2268 | 201.8 min left
[ 159.1 min] step   65105 | games  439812 ( 46.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7749 value 0.2264 | 200.8 min left
